PacketCounter;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00099;;;;;;;;;-0.074687;0.340249;-0.857728;-0.751973;-0.330849;-0.845992
00100;;;;;;;;;-0.077092;0.344537;-0.859928;-0.752063;-0.329972;-0.851816
00101;;;;;;;;;-0.079335;0.344497;-0.857809;-0.752104;-0.329088;-0.853193
00102;;;;;;;;;-0.077011;0.342373;-0.857769;-0.751760;-0.329074;-0.856475
00103;;;;;;;;;-0.074766;0.342415;-0.862003;-0.751125;-0.329666;-0.861238
00104;;;;;;;;;-0.074770;0.342409;-0.853541;-0.750987;-0.330256;-0.864873
00105;;;;;;;;;-0.072609;0.344613;-0.855703;-0.751078;-0.329319;-0.868195
00106;;;;;;;;;-0.077010;0.342374;-0.859884;-0.751498;-0.330102;-0.871925
00107;;;;;;;;;-0.070281;0.342493;-0.862009;-0.751746;-0.330295;-0.874845
00108;;;;;;;;;-0.072441;0.340292;-0.864077;-0.751146;-0.329344;-0.879093
00109;;;;;;;;;-0.074850;0.344575;-0.857816;-0.751308;-0.328997;-0.881586
00110;;;;;;;;;-0.072610;0.344611;-0.853588;-0.751461;-0.328910;-0.885744
00111;;;;;;;;;-0.079007;0.335846;-0.859751;-0.752019;-0.328731;-0.890100
00112;;;;;;;;;-0.068125;0.344689;-0.853594;-0.751306;-0.329031;-0.893804
00113;;;;;;;;;-0.072689;0.346779;-0.859977;-0.751338;-0.328552;-0.898457
00114;;;;;;;;;-0.070365;0.344653;-0.857821;-0.752158;-0.328344;-0.899313
00115;;;;;;;;;-0.074687;0.340249;-0.857728;-0.751673;-0.328026;-0.904128
00116;;;;;;;;;-0.070201;0.340327;-0.857734;-0.751209;-0.328364;-0.907208
00117;;;;;;;;;-0.074770;0.342409;-0.853541;-0.750907;-0.327408;-0.912283
00118;;;;;;;;;-0.072526;0.342451;-0.857775;-0.750075;-0.327065;-0.915236
00119;;;;;;;;;-0.072442;0.340291;-0.861962;-0.749570;-0.326991;-0.920274
00120;;;;;;;;;-0.079334;0.344500;-0.862040;-0.749203;-0.326523;-0.923172
00121;;;;;;;;;-0.072525;0.342453;-0.859890;-0.749862;-0.325744;-0.927379
00122;;;;;;;;;-0.070530;0.348978;-0.855793;-0.750525;-0.325941;-0.932055
00123;;;;;;;;;-0.074848;0.344578;-0.862046;-0.750320;-0.326301;-0.934195
00124;;;;;;;;;-0.079170;0.340174;-0.861953;-0.750458;-0.326668;-0.937266
00125;;;;;;;;;-0.072525;0.342453;-0.859890;-0.750035;-0.326345;-0.942254
00126;;;;;;;;;-0.079416;0.346663;-0.862084;-0.749683;-0.326148;-0.948017
00127;;;;;;;;;-0.072442;0.340291;-0.861962;-0.749830;-0.326559;-0.949988
