PacketCounter;SampleTimeFine;Year;Month;Day;Second;UTC_Nano;UTC_Year;UTC_Month;UTC_Day;UTC_Hour;UTC_Minute;UTC_Second;UTC_Valid;Mag_X;Mag_Y;Mag_Z;Roll;Pitch;Yaw
00095;335515;;;;;;;;;;;;;-0.100629;0.313799;-0.823322;-0.588192;-0.314126;-6.542406
00096;335615;;;;;;;;;;;;;-0.093902;0.313915;-0.821216;-0.587603;-0.314005;-6.586917
00097;335715;;;;;;;;;;;;;-0.096147;0.313873;-0.816982;-0.587364;-0.313909;-6.609698
00098;335815;;;;;;;;;;;;;-0.096145;0.313876;-0.821213;-0.587031;-0.312626;-6.582173
00099;335915;;;;;;;;;;;;;-0.100546;0.311638;-0.825394;-0.586565;-0.311587;-6.599224
00100;336015;;;;;;;;;;;;;-0.098387;0.313837;-0.821210;-0.585584;-0.310712;-6.612079
00101;336115;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.584750;-0.310398;-6.641139
00102;336215;;;;;;;;;;;;;-0.100796;0.318120;-0.817063;-0.585375;-0.310390;-6.644780
00103;336315;;;;;;;;;;;;;-0.100713;0.315959;-0.819135;-0.585455;-0.311304;-6.654213
00104;336415;;;;;;;;;;;;;-0.096226;0.316040;-0.823372;-0.585258;-0.312048;-6.674201
00105;336515;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.585678;-0.312436;-6.687078
00106;336615;;;;;;;;;;;;;-0.098387;0.313838;-0.823325;-0.585852;-0.313167;-6.678161
00107;336715;;;;;;;;;;;;;-0.098471;0.315997;-0.817023;-0.586079;-0.313233;-6.693435
00108;336815;;;;;;;;;;;;;-0.096145;0.313876;-0.821213;-0.585959;-0.313293;-6.704891
00109;336915;;;;;;;;;;;;;-0.098552;0.318161;-0.819181;-0.586400;-0.312040;-6.714742
00110;337015;;;;;;;;;;;;;-0.096228;0.316037;-0.819141;-0.586155;-0.311802;-6.716107
00111;337115;;;;;;;;;;;;;-0.098307;0.311671;-0.816936;-0.587046;-0.310761;-6.730389
00112;337215;;;;;;;;;;;;;-0.093982;0.316081;-0.825490;-0.586060;-0.310484;-6.733286
00113;337315;;;;;;;;;;;;;-0.098387;0.313837;-0.821210;-0.585189;-0.310077;-6.747351
00114;337415;;;;;;;;;;;;;-0.100631;0.313796;-0.819091;-0.585540;-0.309399;-6.744532
00115;337515;;;;;;;;;;;;;-0.096308;0.318203;-0.823416;-0.585380;-0.309537;-6.761555
00116;337615;;;;;;;;;;;;;-0.098549;0.318166;-0.825528;-0.585397;-0.309384;-6.774866
00117;337715;;;;;;;;;;;;;-0.098386;0.313840;-0.825440;-0.585692;-0.307596;-6.771408
00118;337815;;;;;;;;;;;;;-0.094066;0.318241;-0.821303;-0.586370;-0.306812;-6.783618
00119;337915;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.586610;-0.307067;-6.792925
00120;338015;;;;;;;;;;;;;-0.091824;0.318280;-0.821306;-0.586823;-0.306601;-6.789912
00121;338115;;;;;;;;;;;;;-0.096227;0.316039;-0.821256;-0.586969;-0.306249;-6.801665
00122;338215;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.587761;-0.305525;-6.799938
00123;338315;;;;;;;;;;;;;-0.107522;0.318005;-0.819169;-0.587111;-0.305662;-6.813052
00124;338415;;;;;;;;;;;;;-0.100710;0.315964;-0.825481;-0.587002;-0.305152;-6.823001
00125;338515;;;;;;;;;;;;;-0.094067;0.318239;-0.819187;-0.585858;-0.304824;-6.844298
00126;338615;;;;;;;;;;;;;-0.098632;0.320327;-0.823456;-0.585164;-0.303846;-6.839046
00127;338715;;;;;;;;;;;;;-0.100633;0.313793;-0.814860;-0.584237;-0.303149;-6.828797
00128;338815;;;;;;;;;;;;;-0.098307;0.311671;-0.816936;-0.583952;-0.302643;-6.843128
00129;338915;;;;;;;;;;;;;-0.103036;0.318084;-0.821291;-0.584894;-0.302418;-6.855262
00130;339015;;;;;;;;;;;;;-0.100794;0.318124;-0.821294;-0.584878;-0.301856;-6.858278
00131;339115;;;;;;;;;;;;;-0.103038;0.318081;-0.817060;-0.585785;-0.302546;-6.875525
00132;339215;;;;;;;;;;;;;-0.091740;0.316120;-0.825493;-0.586437;-0.302207;-6.878595
00133;339315;;;;;;;;;;;;;-0.102872;0.313760;-0.823319;-0.586859;-0.302329;-6.892177
00134;339415;;;;;;;;;;;;;-0.096145;0.313876;-0.821213;-0.586879;-0.302248;-6.870271
00135;339515;;;;;;;;;;;;;-0.098471;0.315997;-0.817023;-0.586486;-0.302716;-6.901626
00136;339615;;;;;;;;;;;;;-0.100630;0.313797;-0.821207;-0.587180;-0.302536;-6.894255
00137;339715;;;;;;;;;;;;;-0.091661;0.313952;-0.819103;-0.587579;-0.302760;-6.906645
00138;339815;;;;;;;;;;;;;-0.096062;0.311714;-0.823285;-0.586693;-0.303234;-6.921556
00139;339915;;;;;;;;;;;;;-0.096308;0.318203;-0.823416;-0.586100;-0.303459;-6.904881
00140;340015;;;;;;;;;;;;;-0.100547;0.311636;-0.823279;-0.585115;-0.302393;-6.920230
00141;340115;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.584924;-0.302224;-6.928688
00142;340215;;;;;;;;;;;;;-0.093819;0.311753;-0.823288;-0.585202;-0.300608;-6.947039
00143;340315;;;;;;;;;;;;;-0.096063;0.311713;-0.821169;-0.584204;-0.298887;-6.949855
00144;340415;;;;;;;;;;;;;-0.096226;0.316040;-0.823372;-0.583769;-0.297549;-6.946986
00145;340515;;;;;;;;;;;;;-0.096229;0.316036;-0.817026;-0.584101;-0.297479;-6.959480
00146;340615;;;;;;;;;;;;;-0.100712;0.315961;-0.821250;-0.584543;-0.297788;-6.966053
00147;340715;;;;;;;;;;;;;-0.098388;0.313835;-0.819094;-0.586081;-0.297610;-6.972756
00148;340815;;;;;;;;;;;;;-0.103118;0.320248;-0.821334;-0.587513;-0.297189;-6.988355
00149;340915;;;;;;;;;;;;;-0.096146;0.313874;-0.819097;-0.588661;-0.297724;-6.992587
00150;341015;;;;;;;;;;;;;-0.091907;0.320442;-0.819234;-0.589421;-0.298478;-7.007745
00151;341115;;;;;;;;;;;;;-0.096226;0.316040;-0.823372;-0.589636;-0.298917;-7.001856
00152;341215;;;;;;;;;;;;;-0.098632;0.320327;-0.823456;-0.589990;-0.299534;-6.997015
00153;341315;;;;;;;;;;;;;-0.100713;0.315959;-0.819135;-0.589230;-0.299592;-7.010507
00154;341415;;;;;;;;;;;;;-0.098472;0.315995;-0.814907;-0.588258;-0.299703;-7.020278
00155;341515;;;;;;;;;;;;;-0.098550;0.318164;-0.823412;-0.587155;-0.299368;-7.030516
00156;341615;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.586780;-0.297981;-7.034078
00157;341715;;;;;;;;;;;;;-0.096309;0.318202;-0.821300;-0.586515;-0.296492;-7.040669
00158;341815;;;;;;;;;;;;;-0.096064;0.311711;-0.819054;-0.586505;-0.294523;-7.047881
00159;341915;;;;;;;;;;;;;-0.103037;0.318083;-0.819175;-0.586398;-0.292228;-7.050233
00160;342015;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.586310;-0.290616;-7.056683
00161;342115;;;;;;;;;;;;;-0.096310;0.318200;-0.819185;-0.585821;-0.288530;-7.073610
00162;342215;;;;;;;;;;;;;-0.096227;0.316039;-0.821256;-0.585766;-0.286597;-7.070174
00163;342315;;;;;;;;;;;;;-0.100711;0.315962;-0.823366;-0.585901;-0.285681;-7.075419
00164;342415;;;;;;;;;;;;;-0.096228;0.316037;-0.819141;-0.585877;-0.285400;-7.081971
00165;342515;;;;;;;;;;;;;-0.098387;0.313838;-0.823325;-0.585779;-0.287110;-7.095088
00166;342615;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.586804;-0.287588;-7.094884
00167;342715;;;;;;;;;;;;;-0.093985;0.316077;-0.819144;-0.587917;-0.287808;-7.105142
00168;342815;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.588178;-0.288085;-7.111713
00169;342915;;;;;;;;;;;;;-0.100796;0.318120;-0.817063;-0.589235;-0.287683;-7.109531
00170;343015;;;;;;;;;;;;;-0.093984;0.316078;-0.821259;-0.589552;-0.287202;-7.123940
00171;343115;;;;;;;;;;;;;-0.098635;0.320323;-0.817110;-0.590288;-0.286606;-7.134869
00172;343215;;;;;;;;;;;;;-0.091824;0.318280;-0.821306;-0.590560;-0.284606;-7.131456
00173;343315;;;;;;;;;;;;;-0.098550;0.318164;-0.823412;-0.589758;-0.282911;-7.144095
00174;343415;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.589374;-0.280266;-7.141483
00175;343515;;;;;;;;;;;;;-0.093982;0.316081;-0.825490;-0.588466;-0.278022;-7.155262
00176;343615;;;;;;;;;;;;;-0.096393;0.320362;-0.817113;-0.587313;-0.276400;-7.161495
00177;343715;;;;;;;;;;;;;-0.098632;0.320327;-0.823456;-0.586235;-0.275064;-7.161624
00178;343815;;;;;;;;;;;;;-0.096144;0.313877;-0.823328;-0.585323;-0.274622;-7.169952
00179;343915;;;;;;;;;;;;;-0.096388;0.320369;-0.827690;-0.584670;-0.274151;-7.178882
00180;344015;;;;;;;;;;;;;-0.098469;0.316000;-0.821253;-0.584259;-0.273019;-7.182704
00181;344115;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.583859;-0.272541;-7.188535
00182;344215;;;;;;;;;;;;;-0.098387;0.313837;-0.821210;-0.583520;-0.271502;-7.196914
00183;344315;;;;;;;;;;;;;-0.096226;0.316040;-0.823372;-0.582977;-0.269740;-7.203218
00184;344415;;;;;;;;;;;;;-0.093903;0.313913;-0.819100;-0.582663;-0.268141;-7.210185
00185;344515;;;;;;;;;;;;;-0.096226;0.316040;-0.823372;-0.582678;-0.267074;-7.213455
00186;344615;;;;;;;;;;;;;-0.098631;0.320329;-0.825571;-0.582355;-0.266121;-7.216040
00187;344715;;;;;;;;;;;;;-0.094068;0.318238;-0.817072;-0.582035;-0.266228;-7.225052
00188;344815;;;;;;;;;;;;;-0.096228;0.316037;-0.819141;-0.582172;-0.266445;-7.234000
00189;344915;;;;;;;;;;;;;-0.100714;0.315958;-0.817019;-0.582960;-0.266833;-7.234241
00190;345015;;;;;;;;;;;;;-0.098386;0.313840;-0.825440;-0.584093;-0.267519;-7.242903
00191;345115;;;;;;;;;;;;;-0.093985;0.316077;-0.819144;-0.584598;-0.267736;-7.252991
00192;345215;;;;;;;;;;;;;-0.091662;0.313951;-0.816988;-0.585769;-0.269159;-7.256330
00193;345315;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.585802;-0.270596;-7.255279
00194;345415;;;;;;;;;;;;;-0.100711;0.315962;-0.823366;-0.586670;-0.271253;-7.257517
00195;345515;;;;;;;;;;;;;-0.100632;0.313794;-0.816976;-0.586761;-0.271951;-7.270172
00196;345615;;;;;;;;;;;;;-0.096227;0.316039;-0.821256;-0.587260;-0.271800;-7.279087
00197;345715;;;;;;;;;;;;;-0.093982;0.316081;-0.825490;-0.587261;-0.271289;-7.286091
00198;345815;;;;;;;;;;;;;-0.096393;0.320362;-0.817113;-0.585890;-0.270165;-7.285188
00199;345915;;;;;;;;;;;;;-0.100794;0.318124;-0.821294;-0.585289;-0.269442;-7.288271
00200;346015;;;;;;;;;;;;;-0.093986;0.316075;-0.817029;-0.584791;-0.269257;-7.296646
00201;346115;;;;;;;;;;;;;-0.094063;0.318245;-0.827649;-0.584750;-0.269290;-7.308610
00202;346215;;;;;;;;;;;;;-0.098550;0.318164;-0.823412;-0.584942;-0.269040;-7.305136
00203;346315;;;;;;;;;;;;;-0.096143;0.313879;-0.825444;-0.584571;-0.267878;-7.310694
00204;346415;;;;;;;;;;;;;-0.100631;0.313796;-0.819091;-0.584312;-0.266788;-7.322840
00205;346515;;;;;;;;;;;;;-0.096146;0.313874;-0.819097;-0.583812;-0.265503;-7.327377
00206;346615;;;;;;;;;;;;;-0.091660;0.313954;-0.821219;-0.582530;-0.265369;-7.339459
00207;346715;;;;;;;;;;;;;-0.100794;0.318124;-0.821294;-0.581287;-0.265770;-7.339365
00208;346815;;;;;;;;;;;;;-0.091824;0.318280;-0.821306;-0.581929;-0.265536;-7.337613
00209;346915;;;;;;;;;;;;;-0.098469;0.316000;-0.821253;-0.581104;-0.265735;-7.354807
00210;347015;;;;;;;;;;;;;-0.098387;0.313837;-0.821210;-0.581552;-0.266670;-7.348487
00211;347115;;;;;;;;;;;;;-0.105362;0.320207;-0.819216;-0.581076;-0.268667;-7.361070
00212;347215;;;;;;;;;;;;;-0.098471;0.315997;-0.817023;-0.580981;-0.269568;-7.366910
00213;347315;;;;;;;;;;;;;-0.100715;0.315956;-0.814904;-0.580287;-0.270494;-7.381319
00214;347415;;;;;;;;;;;;;-0.098384;0.313841;-0.827556;-0.580670;-0.272299;-7.377184
00215;347515;;;;;;;;;;;;;-0.091905;0.320445;-0.823465;-0.580762;-0.273466;-7.387258
00216;347615;;;;;;;;;;;;;-0.098470;0.315998;-0.819138;-0.582082;-0.274214;-7.389826
00217;347715;;;;;;;;;;;;;-0.100875;0.320288;-0.823453;-0.582815;-0.275360;-7.380457
00218;347815;;;;;;;;;;;;;-0.096145;0.313876;-0.821213;-0.583142;-0.276768;-7.397435
00219;347915;;;;;;;;;;;;;-0.100547;0.311636;-0.823279;-0.583154;-0.277152;-7.408418
00220;348015;;;;;;;;;;;;;-0.098304;0.311677;-0.825397;-0.583721;-0.276603;-7.408494
00221;348115;;;;;;;;;;;;;-0.091740;0.316120;-0.825493;-0.583849;-0.275671;-7.422888
00222;348215;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.582968;-0.274217;-7.425557
00223;348315;;;;;;;;;;;;;-0.098469;0.316000;-0.821253;-0.582805;-0.273299;-7.414992
00224;348415;;;;;;;;;;;;;-0.096146;0.313874;-0.819097;-0.582673;-0.272568;-7.434733
00225;348515;;;;;;;;;;;;;-0.100629;0.313799;-0.823322;-0.583379;-0.272316;-7.443380
00226;348615;;;;;;;;;;;;;-0.096393;0.320362;-0.817113;-0.582886;-0.269752;-7.445188
00227;348715;;;;;;;;;;;;;-0.100550;0.311631;-0.816932;-0.582785;-0.269128;-7.460886
00228;348815;;;;;;;;;;;;;-0.100711;0.315962;-0.823366;-0.582523;-0.268861;-7.457493
00229;348915;;;;;;;;;;;;;-0.096310;0.318200;-0.819185;-0.582317;-0.268434;-7.473884
00230;349015;;;;;;;;;;;;;-0.096224;0.316043;-0.827603;-0.582678;-0.268001;-7.481252
00231;349115;;;;;;;;;;;;;-0.102875;0.313755;-0.816973;-0.582460;-0.267820;-7.476931
00232;349215;;;;;;;;;;;;;-0.098468;0.316001;-0.823369;-0.582184;-0.268177;-7.482388
00233;349315;;;;;;;;;;;;;-0.098550;0.318164;-0.823412;-0.582480;-0.268582;-7.505157
00234;349415;;;;;;;;;;;;;-0.100628;0.313801;-0.825437;-0.582327;-0.268826;-7.501738
00235;349515;;;;;;;;;;;;;-0.096146;0.313874;-0.819097;-0.582830;-0.269031;-7.507994
00236;349615;;;;;;;;;;;;;-0.091822;0.318283;-0.825537;-0.583325;-0.268549;-7.522547
00237;349715;;;;;;;;;;;;;-0.103035;0.318086;-0.823406;-0.582869;-0.269331;-7.517434
00238;349815;;;;;;;;;;;;;-0.093984;0.316078;-0.821259;-0.582834;-0.269341;-7.509223
00239;349915;;;;;;;;;;;;;-0.100711;0.315962;-0.823366;-0.582553;-0.269141;-7.542029
00240;350015;;;;;;;;;;;;;-0.100876;0.320287;-0.821337;-0.583192;-0.269315;-7.528701
00241;350115;;;;;;;;;;;;;-0.093986;0.316075;-0.817029;-0.582959;-0.270000;-7.548828
00242;350215;;;;;;;;;;;;;-0.096310;0.318200;-0.819185;-0.583471;-0.269940;-7.556995
00243;350315;;;;;;;;;;;;;-0.100714;0.315958;-0.817019;-0.582165;-0.269726;-7.547962
00244;350415;;;;;;;;;;;;;-0.096391;0.320365;-0.821344;-0.582534;-0.269343;-7.558409
00245;350515;;;;;;;;;;;;;-0.100549;0.311633;-0.819048;-0.581756;-0.269039;-7.573935
00246;350615;;;;;;;;;;;;;-0.098388;0.313835;-0.819094;-0.581138;-0.268184;-7.572821
00247;350715;;;;;;;;;;;;;-0.102875;0.313755;-0.816973;-0.581137;-0.267201;-7.587293
00248;350815;;;;;;;;;;;;;-0.100876;0.320287;-0.821337;-0.580556;-0.266852;-7.589559
00249;350915;;;;;;;;;;;;;-0.100631;0.313796;-0.819091;-0.580605;-0.266280;-7.605172
00250;351015;;;;;;;;;;;;;-0.100792;0.318127;-0.825525;-0.580386;-0.264999;-7.606608
00251;351115;;;;;;;;;;;;;-0.094068;0.318238;-0.817072;-0.580224;-0.264633;-7.614877
00252;351215;;;;;;;;;;;;;-0.098550;0.318164;-0.823412;-0.579965;-0.265029;-7.622530
00253;351315;;;;;;;;;;;;;-0.098551;0.318163;-0.821297;-0.580185;-0.265385;-7.610349
00254;351415;;;;;;;;;;;;;-0.100875;0.320288;-0.823453;-0.579686;-0.265176;-7.626664
00255;351515;;;;;;;;;;;;;-0.096146;0.313874;-0.819097;-0.578978;-0.265668;-7.633560
00256;351615;;;;;;;;;;;;;-0.091824;0.318280;-0.821306;-0.579520;-0.266292;-7.645816
00257;351715;;;;;;;;;;;;;-0.094065;0.318242;-0.823418;-0.579975;-0.265749;-7.644018
